协议,Judge批次,模型,均分,排名
旧版十维,DeepSeek_首次,GPT-4o,4.028499999999999,6
旧版十维,DeepSeek_首次,GPT-OSS-20B,4.0506,5
旧版十维,DeepSeek_首次,Harmonic Step600,4.476,1
旧版十维,DeepSeek_首次,OPSD Step1192,4.3307,3
旧版十维,DeepSeek_首次,OPSD Step900,4.4146,2
旧版十维,DeepSeek_首次,Qwen3.5-9B 原版,4.1785000000000005,4
旧版十维,DeepSeek_复评,GPT-4o,4.0597,6
旧版十维,DeepSeek_复评,GPT-OSS-20B,4.152,5
旧版十维,DeepSeek_复评,Harmonic Step600,4.5952,1
旧版十维,DeepSeek_复评,OPSD Step1192,4.4578,3
旧版十维,DeepSeek_复评,OPSD Step900,4.5234,2
旧版十维,DeepSeek_复评,Qwen3.5-9B 原版,4.2858,4
旧版十维,GPTOSS_复评,GPT-4o,4.468500000000001,6
旧版十维,GPTOSS_复评,GPT-OSS-20B,4.7303,4
旧版十维,GPTOSS_复评,Harmonic Step600,4.7533,3
旧版十维,GPTOSS_复评,OPSD Step1192,4.8039000000000005,1
旧版十维,GPTOSS_复评,OPSD Step900,4.7919,2
旧版十维,GPTOSS_复评,Qwen3.5-9B 原版,4.5819,5
新版十维,DeepSeek_首次,GPT-4o,4.3316,1
新版十维,DeepSeek_首次,GPT-OSS-20B,4.1425,4
新版十维,DeepSeek_首次,Harmonic Step600,4.0734,6
新版十维,DeepSeek_首次,OPSD Step1192,4.1185,5
新版十维,DeepSeek_首次,OPSD Step900,4.3027,2
新版十维,DeepSeek_首次,Qwen3.5-9B 原版,4.2762,3
新版十维,DeepSeek_复评,GPT-4o,4.3624,2
新版十维,DeepSeek_复评,GPT-OSS-20B,4.2144,4
新版十维,DeepSeek_复评,Harmonic Step600,4.1558,6
新版十维,DeepSeek_复评,OPSD Step1192,4.1991,5
新版十维,DeepSeek_复评,OPSD Step900,4.3809,1
新版十维,DeepSeek_复评,Qwen3.5-9B 原版,4.3435,3
新版十维,GPTOSS_复评,GPT-4o,4.8314,6
新版十维,GPTOSS_复评,GPT-OSS-20B,4.8947,3
新版十维,GPTOSS_复评,Harmonic Step600,4.8676,4
新版十维,GPTOSS_复评,OPSD Step1192,4.899900000000001,2
新版十维,GPTOSS_复评,OPSD Step900,4.9179,1
新版十维,GPTOSS_复评,Qwen3.5-9B 原版,4.851100000000001,5
