协议,Judge批次,模型,整体满意度,对话意愿,情绪愉悦度,意图判断准确,记忆信息准确,信息内容表达清晰,交流流畅,情感表达恰当,风格恰当,社会智能
旧版十维,DeepSeek_首次,GPT-4o,4.02,3.992,3.94,4.509,3.817,4.421,3.84,3.819,4.055,3.872
旧版十维,GPTOSS_复评,GPT-4o,4.242,4.079,4.024,4.866,4.137,4.932,4.479,4.613,4.722,4.591
旧版十维,DeepSeek_复评,GPT-4o,4.031,4.017,3.953,4.636,3.855,4.378,3.887,3.896,4.052,3.892
旧版十维,DeepSeek_首次,GPT-OSS-20B,4.004,3.995,3.889,4.581,4.004,4.342,3.899,3.83,4.022,3.94
旧版十维,GPTOSS_复评,GPT-OSS-20B,4.653,4.473,4.434,4.926,4.636,4.96,4.754,4.804,4.828,4.835
旧版十维,DeepSeek_复评,GPT-OSS-20B,4.059,4.061,3.964,4.743,4.137,4.428,4.009,3.967,4.108,4.044
旧版十维,DeepSeek_首次,Harmonic Step600,4.361,4.393,4.303,4.82,4.551,4.556,4.5,4.358,4.432,4.486
旧版十维,GPTOSS_复评,Harmonic Step600,4.639,4.551,4.576,4.943,4.816,4.847,4.75,4.822,4.709,4.88
旧版十维,DeepSeek_复评,Harmonic Step600,4.495,4.534,4.421,4.901,4.657,4.659,4.603,4.519,4.573,4.59
旧版十维,DeepSeek_首次,OPSD Step1192,4.221,4.268,4.159,4.757,4.416,4.375,4.372,4.197,4.193,4.349
旧版十维,GPTOSS_复评,OPSD Step1192,4.718,4.769,4.703,4.957,4.78,4.821,4.81,4.866,4.723,4.892
旧版十维,DeepSeek_复评,OPSD Step1192,4.343,4.405,4.273,4.874,4.514,4.483,4.486,4.371,4.358,4.471
旧版十维,DeepSeek_首次,OPSD Step900,4.334,4.358,4.236,4.866,4.431,4.443,4.418,4.3,4.334,4.426
旧版十维,GPTOSS_复评,OPSD Step900,4.711,4.791,4.661,4.951,4.68,4.829,4.778,4.87,4.763,4.885
旧版十维,DeepSeek_复评,OPSD Step900,4.445,4.466,4.352,4.938,4.531,4.542,4.522,4.458,4.455,4.525
旧版十维,DeepSeek_首次,Qwen3.5-9B 原版,4.11,4.104,4.033,4.687,4.111,4.434,4.048,3.973,4.212,4.073
旧版十维,GPTOSS_复评,Qwen3.5-9B 原版,4.328,4.25,4.194,4.851,4.456,4.905,4.605,4.726,4.771,4.733
旧版十维,DeepSeek_复评,Qwen3.5-9B 原版,4.209,4.198,4.123,4.784,4.205,4.52,4.174,4.136,4.314,4.195
新版十维,DeepSeek_首次,GPT-4o,4.1,4.125,4.148,4.396,4.556,4.64,4.34,4.238,4.382,4.391
新版十维,GPTOSS_复评,GPT-4o,4.538,4.656,4.716,4.812,4.824,4.89,4.947,4.975,4.963,4.993
新版十维,DeepSeek_复评,GPT-4o,4.151,4.171,4.189,4.48,4.62,4.727,4.32,4.239,4.356,4.371
新版十维,DeepSeek_首次,GPT-OSS-20B,3.919,4.006,4.049,4.14,4.158,4.536,4.149,4.091,4.191,4.186
新版十维,GPTOSS_复评,GPT-OSS-20B,4.762,4.8,4.853,4.875,4.914,4.937,4.895,4.97,4.953,4.988
新版十维,DeepSeek_复评,GPT-OSS-20B,4.004,4.065,4.122,4.264,4.287,4.607,4.174,4.153,4.229,4.239
新版十维,DeepSeek_首次,Harmonic Step600,3.856,4.02,4.063,4.154,3.837,4.403,4.107,4.088,4.12,4.086
新版十维,GPTOSS_复评,Harmonic Step600,4.733,4.748,4.821,4.904,4.892,4.917,4.853,4.95,4.877,4.981
新版十维,DeepSeek_复评,Harmonic Step600,3.967,4.089,4.145,4.264,3.998,4.454,4.156,4.158,4.154,4.173
新版十维,DeepSeek_首次,OPSD Step1192,3.928,4.092,4.092,4.228,3.977,4.331,4.131,4.122,4.105,4.179
新版十维,GPTOSS_复评,OPSD Step1192,4.799,4.858,4.908,4.925,4.9,4.895,4.872,4.969,4.882,4.991
新版十维,DeepSeek_复评,OPSD Step1192,4.036,4.136,4.161,4.364,4.157,4.385,4.17,4.186,4.148,4.248
新版十维,DeepSeek_首次,OPSD Step900,4.133,4.228,4.233,4.463,4.301,4.444,4.278,4.279,4.271,4.397
新版十维,GPTOSS_复评,OPSD Step900,4.825,4.896,4.918,4.934,4.898,4.911,4.9,4.973,4.926,4.998
新版十维,DeepSeek_复评,OPSD Step900,4.231,4.315,4.322,4.562,4.41,4.504,4.34,4.36,4.313,4.452
新版十维,DeepSeek_首次,Qwen3.5-9B 原版,4.048,4.091,4.128,4.36,4.331,4.608,4.301,4.218,4.332,4.345
新版十维,GPTOSS_复评,Qwen3.5-9B 原版,4.612,4.734,4.792,4.815,4.871,4.896,4.897,4.965,4.939,4.99
新版十维,DeepSeek_复评,Qwen3.5-9B 原版,4.131,4.176,4.222,4.452,4.454,4.664,4.321,4.276,4.35,4.389
