协议,模型,模型目录,口径,DeepSeek十维均分,GPTOSS十维均分,DeepSeek减GPTOSS,DeepSeek_整体满意度,DeepSeek_对话意愿,DeepSeek_情绪愉悦度,DeepSeek_意图判断准确,DeepSeek_记忆信息准确,DeepSeek_信息内容表达清晰,DeepSeek_交流流畅,DeepSeek_情感表达恰当,DeepSeek_风格恰当,DeepSeek_社会智能,GPTOSS_整体满意度,GPTOSS_对话意愿,GPTOSS_情绪愉悦度,GPTOSS_意图判断准确,GPTOSS_记忆信息准确,GPTOSS_信息内容表达清晰,GPTOSS_交流流畅,GPTOSS_情感表达恰当,GPTOSS_风格恰当,GPTOSS_社会智能
old,GPT-4o,gpt_4o,A_raw,4.0597,4.4685,-0.4087999999999994,4.031,4.017,3.953,4.636,3.855,4.378,3.887,3.896,4.052,3.892,4.242,4.079,4.024,4.866,4.137,4.932,4.479,4.613,4.722,4.591
old,GPT-OSS-20B,gpt_oss_20b,A_raw,4.152,4.7303,-0.5782999999999996,4.059,4.061,3.964,4.743,4.137,4.428,4.009,3.967,4.108,4.044,4.653,4.473,4.434,4.926,4.636,4.96,4.754,4.804,4.828,4.835
old,Harmonic Step600,harmonic_step600,A_raw,4.5952,4.7533,-0.15810000000000013,4.495,4.534,4.421,4.901,4.657,4.659,4.603,4.519,4.573,4.59,4.639,4.551,4.576,4.943,4.816,4.847,4.75,4.822,4.709,4.88
old,OPSD Step1192,opsd_step1192,A_raw,4.4578,4.8039,-0.34609999999999985,4.343,4.405,4.273,4.874,4.514,4.483,4.486,4.371,4.358,4.471,4.718,4.769,4.703,4.957,4.78,4.821,4.81,4.866,4.723,4.892
old,OPSD Step900,opsd_step900,A_raw,4.5234,4.7919,-0.2685000000000004,4.445,4.466,4.352,4.938,4.531,4.542,4.522,4.458,4.455,4.525,4.711,4.791,4.661,4.951,4.68,4.829,4.778,4.87,4.763,4.885
old,Qwen3.5-9B 原版,qwen35_9b_base,A_raw,4.2858,4.5819,-0.29610000000000003,4.209,4.198,4.123,4.784,4.205,4.52,4.174,4.136,4.314,4.195,4.328,4.25,4.194,4.851,4.456,4.905,4.605,4.726,4.771,4.733
new,GPT-4o,gpt_4o,A_raw,4.3624,4.8314,-0.4690000000000003,4.151,4.171,4.189,4.48,4.62,4.727,4.32,4.239,4.356,4.371,4.538,4.656,4.716,4.812,4.824,4.89,4.947,4.975,4.963,4.993
new,GPT-OSS-20B,gpt_oss_20b,A_raw,4.2144,4.8947,-0.6802999999999999,4.004,4.065,4.122,4.264,4.287,4.607,4.174,4.153,4.229,4.239,4.762,4.8,4.853,4.875,4.914,4.937,4.895,4.97,4.953,4.988
new,Harmonic Step600,harmonic_step600,A_raw,4.1558,4.8676,-0.7118000000000002,3.967,4.089,4.145,4.264,3.998,4.454,4.156,4.158,4.154,4.173,4.733,4.748,4.821,4.904,4.892,4.917,4.853,4.95,4.877,4.981
new,OPSD Step1192,opsd_step1192,A_raw,4.1991,4.8999,-0.7008000000000001,4.036,4.136,4.161,4.364,4.157,4.385,4.17,4.186,4.148,4.248,4.799,4.858,4.908,4.925,4.9,4.895,4.872,4.969,4.882,4.991
new,OPSD Step900,opsd_step900,A_raw,4.3809,4.9179,-0.5370000000000008,4.231,4.315,4.322,4.562,4.41,4.504,4.34,4.36,4.313,4.452,4.825,4.896,4.918,4.934,4.898,4.911,4.9,4.973,4.926,4.998
new,Qwen3.5-9B 原版,qwen35_9b_base,A_raw,4.3435,4.8511,-0.5076,4.131,4.176,4.222,4.452,4.454,4.664,4.321,4.276,4.35,4.389,4.612,4.734,4.792,4.815,4.871,4.896,4.897,4.965,4.939,4.99
