协议,模型,模型目录,口径,维度,1000题分数总和,维度均分_分母1000
new,GPT-4o,gpt_4o,A_raw,整体满意度,4151,4.151
new,GPT-4o,gpt_4o,A_raw,对话意愿,4171,4.171
new,GPT-4o,gpt_4o,A_raw,情绪愉悦度,4189,4.189
new,GPT-4o,gpt_4o,A_raw,意图判断准确,4480,4.48
new,GPT-4o,gpt_4o,A_raw,记忆信息准确,4620,4.62
new,GPT-4o,gpt_4o,A_raw,信息内容表达清晰,4727,4.727
new,GPT-4o,gpt_4o,A_raw,交流流畅,4320,4.32
new,GPT-4o,gpt_4o,A_raw,情感表达恰当,4239,4.239
new,GPT-4o,gpt_4o,A_raw,风格恰当,4356,4.356
new,GPT-4o,gpt_4o,A_raw,社会智能,4371,4.371
new,GPT-4o,gpt_4o,B_single_zero,整体满意度,4038,4.038
new,GPT-4o,gpt_4o,B_single_zero,对话意愿,4089,4.089
new,GPT-4o,gpt_4o,B_single_zero,情绪愉悦度,4118,4.118
new,GPT-4o,gpt_4o,B_single_zero,意图判断准确,4368,4.368
new,GPT-4o,gpt_4o,B_single_zero,记忆信息准确,4485,4.485
new,GPT-4o,gpt_4o,B_single_zero,信息内容表达清晰,4710,4.71
new,GPT-4o,gpt_4o,B_single_zero,交流流畅,4296,4.296
new,GPT-4o,gpt_4o,B_single_zero,情感表达恰当,4180,4.18
new,GPT-4o,gpt_4o,B_single_zero,风格恰当,4326,4.326
new,GPT-4o,gpt_4o,B_single_zero,社会智能,4303,4.303
new,GPT-4o,gpt_4o,C_whole_zero,整体满意度,3878,3.878
new,GPT-4o,gpt_4o,C_whole_zero,对话意愿,3885,3.885
new,GPT-4o,gpt_4o,C_whole_zero,情绪愉悦度,3897,3.897
new,GPT-4o,gpt_4o,C_whole_zero,意图判断准确,4209,4.209
new,GPT-4o,gpt_4o,C_whole_zero,记忆信息准确,4347,4.347
new,GPT-4o,gpt_4o,C_whole_zero,信息内容表达清晰,4386,4.386
new,GPT-4o,gpt_4o,C_whole_zero,交流流畅,4007,4.007
new,GPT-4o,gpt_4o,C_whole_zero,情感表达恰当,3943,3.943
new,GPT-4o,gpt_4o,C_whole_zero,风格恰当,4047,4.047
new,GPT-4o,gpt_4o,C_whole_zero,社会智能,4078,4.078
new,GPT-OSS-20B,gpt_oss_20b,A_raw,整体满意度,4004,4.004
new,GPT-OSS-20B,gpt_oss_20b,A_raw,对话意愿,4065,4.065
new,GPT-OSS-20B,gpt_oss_20b,A_raw,情绪愉悦度,4122,4.122
new,GPT-OSS-20B,gpt_oss_20b,A_raw,意图判断准确,4264,4.264
new,GPT-OSS-20B,gpt_oss_20b,A_raw,记忆信息准确,4287,4.287
new,GPT-OSS-20B,gpt_oss_20b,A_raw,信息内容表达清晰,4607,4.607
new,GPT-OSS-20B,gpt_oss_20b,A_raw,交流流畅,4174,4.174
new,GPT-OSS-20B,gpt_oss_20b,A_raw,情感表达恰当,4153,4.153
new,GPT-OSS-20B,gpt_oss_20b,A_raw,风格恰当,4229,4.229
new,GPT-OSS-20B,gpt_oss_20b,A_raw,社会智能,4239,4.239
new,GPT-OSS-20B,gpt_oss_20b,B_single_zero,整体满意度,3635,3.635
new,GPT-OSS-20B,gpt_oss_20b,B_single_zero,对话意愿,3789,3.789
new,GPT-OSS-20B,gpt_oss_20b,B_single_zero,情绪愉悦度,3924,3.924
new,GPT-OSS-20B,gpt_oss_20b,B_single_zero,意图判断准确,3920,3.92
new,GPT-OSS-20B,gpt_oss_20b,B_single_zero,记忆信息准确,3891,3.891
new,GPT-OSS-20B,gpt_oss_20b,B_single_zero,信息内容表达清晰,4508,4.508
new,GPT-OSS-20B,gpt_oss_20b,B_single_zero,交流流畅,3985,3.985
new,GPT-OSS-20B,gpt_oss_20b,B_single_zero,情感表达恰当,3967,3.967
new,GPT-OSS-20B,gpt_oss_20b,B_single_zero,风格恰当,4110,4.11
new,GPT-OSS-20B,gpt_oss_20b,B_single_zero,社会智能,3994,3.994
new,GPT-OSS-20B,gpt_oss_20b,C_whole_zero,整体满意度,3287,3.287
new,GPT-OSS-20B,gpt_oss_20b,C_whole_zero,对话意愿,3300,3.3
new,GPT-OSS-20B,gpt_oss_20b,C_whole_zero,情绪愉悦度,3310,3.31
new,GPT-OSS-20B,gpt_oss_20b,C_whole_zero,意图判断准确,3527,3.527
