题库,模型,task_quality,memory_usage,over_personalization_restraint,resonation,expression,reception,EI_逐题调和后均值
早期题库,GPT-4o,4.552,4.627,4.919,4.036,4.575,4.565,4.3635260739260735
早期题库,GPT-OSS-20B,4.534,4.578,4.681,4.074,4.583,4.561,4.375791058941059
修订题库,GPT-OSS-20B,4.549,4.663,4.746,4.08,4.596,4.571,4.384894755244756
早期题库,Harmonic Step600,4.721,4.55,4.481,4.353,4.698,4.678,4.555033516483516
修订题库,Harmonic Step600,4.734,4.57,4.47,4.305,4.698,4.681,4.536988061938061
早期题库,OPSD Step1192,4.76,4.638,4.597,4.264,4.749,4.744,4.559111088911089
修订题库,OPSD Step1192,4.755,4.659,4.63,4.169,4.74,4.726,4.5130409090909085
早期题库,OPSD Step900,4.852,4.757,4.778,4.293,4.851,4.853,4.636077372627372
修订题库,OPSD Step900,4.843,4.786,4.796,4.278,4.843,4.836,4.622237762237762
早期题库,Qwen3.5-9B 原版,4.64,4.638,4.771,4.154,4.659,4.647,4.457967732267732
修订题库,Qwen3.5-9B 原版,4.608,4.689,4.796,4.126,4.643,4.623,4.4355338661338655
