协议,模型,模型目录,口径,维度,1000题分数总和,维度均分_分母1000
old,GPT-4o,gpt_4o,A_raw,整体满意度,4031,4.031
old,GPT-4o,gpt_4o,A_raw,对话意愿,4017,4.017
old,GPT-4o,gpt_4o,A_raw,情绪愉悦度,3953,3.953
old,GPT-4o,gpt_4o,A_raw,意图判断准确,4636,4.636
old,GPT-4o,gpt_4o,A_raw,记忆信息准确,3855,3.855
old,GPT-4o,gpt_4o,A_raw,信息内容表达清晰,4378,4.378
old,GPT-4o,gpt_4o,A_raw,交流流畅,3887,3.887
old,GPT-4o,gpt_4o,A_raw,情感表达恰当,3896,3.896
old,GPT-4o,gpt_4o,A_raw,风格恰当,4052,4.052
old,GPT-4o,gpt_4o,A_raw,社会智能,3892,3.892
old,GPT-4o,gpt_4o,B_single_zero,整体满意度,3906,3.906
old,GPT-4o,gpt_4o,B_single_zero,对话意愿,3921,3.921
old,GPT-4o,gpt_4o,B_single_zero,情绪愉悦度,3683,3.683
old,GPT-4o,gpt_4o,B_single_zero,意图判断准确,4570,4.57
old,GPT-4o,gpt_4o,B_single_zero,记忆信息准确,2599,2.599
old,GPT-4o,gpt_4o,B_single_zero,信息内容表达清晰,4378,4.378
old,GPT-4o,gpt_4o,B_single_zero,交流流畅,3407,3.407
old,GPT-4o,gpt_4o,B_single_zero,情感表达恰当,3411,3.411
old,GPT-4o,gpt_4o,B_single_zero,风格恰当,3737,3.737
old,GPT-4o,gpt_4o,B_single_zero,社会智能,3370,3.37
old,GPT-4o,gpt_4o,C_whole_zero,整体满意度,2125,2.125
old,GPT-4o,gpt_4o,C_whole_zero,对话意愿,2106,2.106
old,GPT-4o,gpt_4o,C_whole_zero,情绪愉悦度,2101,2.101
old,GPT-4o,gpt_4o,C_whole_zero,意图判断准确,2523,2.523
old,GPT-4o,gpt_4o,C_whole_zero,记忆信息准确,2338,2.338
old,GPT-4o,gpt_4o,C_whole_zero,信息内容表达清晰,2266,2.266
old,GPT-4o,gpt_4o,C_whole_zero,交流流畅,2106,2.106
old,GPT-4o,gpt_4o,C_whole_zero,情感表达恰当,2115,2.115
old,GPT-4o,gpt_4o,C_whole_zero,风格恰当,2188,2.188
old,GPT-4o,gpt_4o,C_whole_zero,社会智能,2132,2.132
old,GPT-OSS-20B,gpt_oss_20b,A_raw,整体满意度,4059,4.059
old,GPT-OSS-20B,gpt_oss_20b,A_raw,对话意愿,4061,4.061
old,GPT-OSS-20B,gpt_oss_20b,A_raw,情绪愉悦度,3964,3.964
old,GPT-OSS-20B,gpt_oss_20b,A_raw,意图判断准确,4743,4.743
old,GPT-OSS-20B,gpt_oss_20b,A_raw,记忆信息准确,4137,4.137
old,GPT-OSS-20B,gpt_oss_20b,A_raw,信息内容表达清晰,4428,4.428
old,GPT-OSS-20B,gpt_oss_20b,A_raw,交流流畅,4009,4.009
old,GPT-OSS-20B,gpt_oss_20b,A_raw,情感表达恰当,3967,3.967
old,GPT-OSS-20B,gpt_oss_20b,A_raw,风格恰当,4108,4.108
old,GPT-OSS-20B,gpt_oss_20b,A_raw,社会智能,4044,4.044
old,GPT-OSS-20B,gpt_oss_20b,B_single_zero,整体满意度,3880,3.88
old,GPT-OSS-20B,gpt_oss_20b,B_single_zero,对话意愿,3940,3.94
old,GPT-OSS-20B,gpt_oss_20b,B_single_zero,情绪愉悦度,3575,3.575
old,GPT-OSS-20B,gpt_oss_20b,B_single_zero,意图判断准确,4624,4.624
old,GPT-OSS-20B,gpt_oss_20b,B_single_zero,记忆信息准确,3379,3.379
old,GPT-OSS-20B,gpt_oss_20b,B_single_zero,信息内容表达清晰,4395,4.395
old,GPT-OSS-20B,gpt_oss_20b,B_single_zero,交流流畅,3709,3.709
old,GPT-OSS-20B,gpt_oss_20b,B_single_zero,情感表达恰当,3530,3.53
old,GPT-OSS-20B,gpt_oss_20b,B_single_zero,风格恰当,3723,3.723
old,GPT-OSS-20B,gpt_oss_20b,B_single_zero,社会智能,3673,3.673
old,GPT-OSS-20B,gpt_oss_20b,C_whole_zero,整体满意度,2661,2.661
old,GPT-OSS-20B,gpt_oss_20b,C_whole_zero,对话意愿,2645,2.645
old,GPT-OSS-20B,gpt_oss_20b,C_whole_zero,情绪愉悦度,2637,2.637
old,GPT-OSS-20B,gpt_oss_20b,C_whole_zero,意图判断准确,3134,3.134
old,GPT-OSS-20B,gpt_oss_20b,C_whole_zero,记忆信息准确,2927,2.927
old,GPT-OSS-20B,gpt_oss_20b,C_whole_zero,信息内容表达清晰,2856,2.856
old,GPT-OSS-20B,gpt_oss_20b,C_whole_zero,交流流畅,2659,2.659
old,GPT-OSS-20B,gpt_oss_20b,C_whole_zero,情感表达恰当,2657,2.657
old,GPT-OSS-20B,gpt_oss_20b,C_whole_zero,风格恰当,2750,2.75
old,GPT-OSS-20B,gpt_oss_20b,C_whole_zero,社会智能,2721,2.721
old,Harmonic Step600,harmonic_step600,A_raw,整体满意度,4495,4.495
old,Harmonic Step600,harmonic_step600,A_raw,对话意愿,4534,4.534
old,Harmonic Step600,harmonic_step600,A_raw,情绪愉悦度,4421,4.421
old,Harmonic Step600,harmonic_step600,A_raw,意图判断准确,4901,4.901
old,Harmonic Step600,harmonic_step600,A_raw,记忆信息准确,4657,4.657
old,Harmonic Step600,harmonic_step600,A_raw,信息内容表达清晰,4659,4.659
old,Harmonic Step600,harmonic_step600,A_raw,交流流畅,4603,4.603
old,Harmonic Step600,harmonic_step600,A_raw,情感表达恰当,4519,4.519
old,Harmonic Step600,harmonic_step600,A_raw,风格恰当,4573,4.573
old,Harmonic Step600,harmonic_step600,A_raw,社会智能,4590,4.59
old,Harmonic Step600,harmonic_step600,B_single_zero,整体满意度,4426,4.426
old,Harmonic Step600,harmonic_step600,B_single_zero,对话意愿,4500,4.5
old,Harmonic Step600,harmonic_step600,B_single_zero,情绪愉悦度,4300,4.3
old,Harmonic Step600,harmonic_step600,B_single_zero,意图判断准确,4848,4.848
old,Harmonic Step600,harmonic_step600,B_single_zero,记忆信息准确,4480,4.48
old,Harmonic Step600,harmonic_step600,B_single_zero,信息内容表达清晰,4646,4.646
old,Harmonic Step600,harmonic_step600,B_single_zero,交流流畅,4556,4.556
old,Harmonic Step600,harmonic_step600,B_single_zero,情感表达恰当,4422,4.422
old,Harmonic Step600,harmonic_step600,B_single_zero,风格恰当,4503,4.503
old,Harmonic Step600,harmonic_step600,B_single_zero,社会智能,4524,4.524
old,Harmonic Step600,harmonic_step600,C_whole_zero,整体满意度,4107,4.107
old,Harmonic Step600,harmonic_step600,C_whole_zero,对话意愿,4128,4.128
old,Harmonic Step600,harmonic_step600,C_whole_zero,情绪愉悦度,4043,4.043
old,Harmonic Step600,harmonic_step600,C_whole_zero,意图判断准确,4449,4.449
old,Harmonic Step600,harmonic_step600,C_whole_zero,记忆信息准确,4299,4.299
old,Harmonic Step600,harmonic_step600,C_whole_zero,信息内容表达清晰,4213,4.213
old,Harmonic Step600,harmonic_step600,C_whole_zero,交流流畅,4197,4.197
old,Harmonic Step600,harmonic_step600,C_whole_zero,情感表达恰当,4131,4.131
old,Harmonic Step600,harmonic_step600,C_whole_zero,风格恰当,4169,4.169
old,Harmonic Step600,harmonic_step600,C_whole_zero,社会智能,4192,4.192
old,OPSD Step1192,opsd_step1192,A_raw,整体满意度,4343,4.343
old,OPSD Step1192,opsd_step1192,A_raw,对话意愿,4405,4.405
old,OPSD Step1192,opsd_step1192,A_raw,情绪愉悦度,4273,4.273
old,OPSD Step1192,opsd_step1192,A_raw,意图判断准确,4874,4.874
old,OPSD Step1192,opsd_step1192,A_raw,记忆信息准确,4514,4.514
old,OPSD Step1192,opsd_step1192,A_raw,信息内容表达清晰,4483,4.483
old,OPSD Step1192,opsd_step1192,A_raw,交流流畅,4486,4.486
old,OPSD Step1192,opsd_step1192,A_raw,情感表达恰当,4371,4.371
old,OPSD Step1192,opsd_step1192,A_raw,风格恰当,4358,4.358
old,OPSD Step1192,opsd_step1192,A_raw,社会智能,4471,4.471
old,OPSD Step1192,opsd_step1192,B_single_zero,整体满意度,4225,4.225
