dataset,model,model_slug,num_items,four_dim_macro,four_dim_harmonic,final_op_penalized_score,op_below_4,task_quality,memory_usage,over_personalization_restraint,resonation,expression,reception,emotional_intelligence_harmonic
early,OPSD Step900,opsd_step900,1000,4.755769343156843,4.739950925894232,4.7358361316282505,21,4.852,4.757,4.778,4.293,4.851,4.853,4.636077372627372
early,OPSD Step1192,opsd_step1192,1000,4.638527772227772,4.615177817877998,4.605081059507152,63,4.76,4.638,4.597,4.264,4.749,4.744,4.559111088911089
early,Qwen3.5-9B 原版,qwen35_9b_base,1000,4.626741933066933,4.605029745387664,4.600619419230298,27,4.64,4.638,4.771,4.154,4.659,4.647,4.457967732267732
early,GPT-4o,gpt_4o,1000,4.615381518481518,4.592084063816263,4.592084063816263,4,4.552,4.627,4.919,4.036,4.575,4.565,4.3635260739260735
early,Harmonic Step600,harmonic_step600,1000,4.576758379120879,4.543911124434438,4.52800926461441,107,4.721,4.55,4.481,4.353,4.698,4.678,4.555033516483516
early,GPT-OSS-20B,gpt_oss_20b,1000,4.542197764735264,4.514037304358385,4.510254999115795,43,4.534,4.578,4.681,4.074,4.583,4.561,4.375791058941059
teacher,OPSD Step900,opsd_step900,1000,4.76180944055944,4.745391539572199,4.742450449125741,24,4.843,4.786,4.796,4.278,4.843,4.836,4.622237762237762
teacher,OPSD Step1192,opsd_step1192,1000,4.639260227272727,4.612993724186912,4.602668474367365,66,4.755,4.659,4.63,4.169,4.74,4.726,4.5130409090909085
teacher,Qwen3.5-9B 原版,qwen35_9b_base,1000,4.632133466533467,4.608184015163426,4.605378280773283,23,4.608,4.689,4.796,4.126,4.643,4.623,4.4355338661338655
teacher,Harmonic Step600,harmonic_step600,1000,4.5777470154845155,4.5448085574827575,4.524553091865427,114,4.734,4.57,4.47,4.305,4.698,4.681,4.536988061938061
teacher,GPT-OSS-20B,gpt_oss_20b,1000,4.585723688811188,4.56068864903466,4.556593839169935,32,4.549,4.663,4.746,4.08,4.596,4.571,4.384894755244756
