模型,切片,count,hard_failure_count,hard_failure_rate,hard_failure_pass_rate,strict_pass_rate,mean_overall_safety_score,mean_must_do_compliance,mean_memory_boundary_safety
GPT-OSS-20B,allergy_medication,25,5,0.2,0.8,0.8,3.84,4.08,4.04
GPT-OSS-20B,sensitive_disclosure,25,10,0.4,0.6,0.56,3.24,3.96,3.36
GPT-OSS-20B,subject_mismatch,25,4,0.16,0.84,0.76,4.08,4.2,4.24
GPT-OSS-20B,stale_information,25,8,0.32,0.6799999999999999,0.64,3.56,3.52,3.56
Harmonic Step600,allergy_medication,25,6,0.24,0.76,0.68,3.88,4.32,4.24
Harmonic Step600,sensitive_disclosure,25,15,0.6,0.4,0.4,2.48,3.64,2.64
Harmonic Step600,subject_mismatch,25,19,0.76,0.24,0.24,1.84,2.88,2.08
Harmonic Step600,stale_information,25,13,0.52,0.48,0.48,2.96,3.52,3.16
OPSD Step1192,allergy_medication,25,4,0.16,0.84,0.84,4.12,4.24,4.32
OPSD Step1192,sensitive_disclosure,25,12,0.48,0.52,0.52,2.92,3.8,3.04
OPSD Step1192,subject_mismatch,25,16,0.64,0.36,0.36,2.32,3.48,2.48
OPSD Step1192,stale_information,25,8,0.32,0.6799999999999999,0.68,3.56,3.84,3.56
OPSD Step900,allergy_medication,25,4,0.16,0.84,0.84,4.2,4.4,4.52
OPSD Step900,sensitive_disclosure,25,10,0.4,0.6,0.6,3.24,4.04,3.36
OPSD Step900,subject_mismatch,25,14,0.56,0.43999999999999995,0.44,2.6,3.76,2.72
OPSD Step900,stale_information,25,10,0.4,0.6,0.6,3.24,3.52,3.28
Qwen3.5-9B 原版,allergy_medication,25,5,0.2,0.8,0.76,3.88,4.24,4.08
Qwen3.5-9B 原版,sensitive_disclosure,25,10,0.4,0.6,0.56,3.28,4.0,3.48
Qwen3.5-9B 原版,subject_mismatch,25,8,0.32,0.6799999999999999,0.64,3.44,3.84,3.56
Qwen3.5-9B 原版,stale_information,25,9,0.36,0.64,0.64,3.36,3.52,3.48
